flux fluxerr filter zp mag magerr zpsys exp mjd
1.2759765303904914e-13 8.823168287877867e-16 F444W -6.100000000000001 26.13539328428722 0.00748184948811785 ab jw080600_epoch1_mosaic_F444W_i2d.fits 60954.48231356289
-9.68721006836287e-15 8.358201022311367e-16 F200W nan nan -0.09796810666372893 ab jw073360_mosaic_F200W_i2d.fits 60965.94109416955
7.849699928512034e-14 1.7045803721417068e-15 F150W -6.100000000000005 26.66286736192102 0.02332466759639308 ab jw080600_epoch3_mosaic_F150W_i2d.fits 61040.49907877508
4.841524535674749e-14 5.617192956034789e-16 F356W -6.100000000000001 27.187544657264503 0.012524322814105902 ab jw080600_epoch2_mosaic_F356W_i2d.fits 60997.474208551306
8.921039586772876e-15 8.378853120228598e-16 F356W -6.100000000000005 29.02396133365286 0.09746627325033778 ab jw053240_epoch2_mosaic_F356W_i2d.fits 61075.47502172743
5.378571130759288e-14 3.313618379962339e-15 F150W -6.100000000000001 27.073332708811186 0.06491023359810878 ab jw053240_epoch2_mosaic_F150W_i2d.fits 61075.45384987269
-9.178084595017052e-15 6.149048287852296e-16 F150W nan nan -0.0752924876679931 ab jw053240_epoch1_mosaic_F150W_i2d.fits 61018.006407826964
4.568392485056031e-13 2.855439788267474e-15 F150W -6.100000000000005 24.750591478864948 0.00676519278722803 ab jw080600_epoch1_mosaic_F150W_i2d.fits 60954.53616318311
-9.656290624243089e-15 1.864924283351065e-16 F356W nan nan -0.021174010082337155 ab jw053240_epoch1_mosaic_F356W_i2d.fits 61018.00640694733
4.349460938659987e-13 2.4790106325664827e-15 F200W -6.100000000000005 24.803911412712463 0.00617067332298942 ab jw080600_epoch1_mosaic_F200W_i2d.fits 60954.42859877025
1.7236364650871466e-13 7.803623002555789e-16 F356W -6.100000000000005 25.808885816485553 0.004904487816058015 ab jw080600_epoch1_mosaic_F356W_i2d.fits 60954.536163013116
1.4612201997116336e-13 1.9212035072327705e-15 F150W -6.100000000000001 25.988210831975202 0.014182164002200088 ab jw080600_epoch2_mosaic_F150W_i2d.fits 60997.47420865934
-6.299181861403251e-15 1.374211389609578e-16 F277W nan nan -0.023948293478526873 ab jw053240_epoch1_mosaic_F277W_i2d.fits 61017.98789085359
-9.627723059611231e-15 8.3315082609316e-16 F150W nan nan -0.09827217262923031 ab jw073360_mosaic_F150W_i2d.fits 60966.00991693576
3.7977350018730136e-14 3.1050395896016092e-15 F200W -6.100000000000001 27.45118835679071 0.08532759913847487 ab jw053240_epoch2_mosaic_F200W_i2d.fits 61075.47500668114
1.4398687031806556e-14 4.3716102089662946e-16 F277W -6.100000000000005 28.50419276990745 0.03247371160239104 ab jw080600_epoch3_mosaic_F277W_i2d.fits 61040.446264519676
1.8710989645723923e-14 4.892044532238284e-16 F356W -6.100000000000001 28.219758103896886 0.028022151655225445 ab jw080600_epoch3_mosaic_F356W_i2d.fits 61040.499078420136
5.736735417716522e-15 7.081987369911971e-16 F277W -6.100000000000001 29.503337949058697 0.1263841608101163 ab jw053240_epoch2_mosaic_F277W_i2d.fits 61075.45386508102
6.393355970160501e-14 1.6261920616548871e-15 F200W -6.100000000000001 26.885677785461347 0.027271036662256838 ab jw080600_epoch3_mosaic_F200W_i2d.fits 61040.44626485918
3.726811467923079e-14 4.83667388699402e-16 F277W -6.100000000000001 27.47165644198961 0.014000085147741837 ab jw080600_epoch2_mosaic_F277W_i2d.fits 60997.42120823302
1.44974896540729e-13 7.593772261461623e-16 F277W -6.100000000000001 25.996767981269272 0.005672234019155429 ab jw080600_epoch1_mosaic_F277W_i2d.fits 60954.42860917244
4.463562297657478e-13 3.359488419627364e-15 F115W -6.099999999999998 24.775795998567816 0.008141166130532644 ab jw080600_epoch1_mosaic_F115W_i2d.fits 60954.48231371721
-1.1856791096544649e-14 7.053463032107177e-16 F200W nan nan -0.06659007363314899 ab jw053240_epoch1_mosaic_F200W_i2d.fits 61017.98789171007
1.4152095945342902e-13 1.841016027345076e-15 F200W -6.100000000000001 26.022948089379568 0.014033031364849957 ab jw080600_epoch2_mosaic_F200W_i2d.fits 60997.42120826389
