flux fluxerr filter zp mag magerr zpsys exp mjd
5.416090563040952e-15 6.915931685339771e-16 F444W -6.100000000000005 29.56578520594201 0.13047655670488004 ab jw080600_epoch1_mosaic_F444W_i2d.fits 60954.48231356289
3.607307020874072e-16 4.651023187178872e-16 F200W -6.100000000000001 32.50704223236804 0.8992728425765169 ab jw073360_mosaic_F200W_i2d.fits 60965.94109416955
8.498464914516699e-15 1.2987651355349075e-15 F150W -6.100000000000001 29.07664878552675 0.15440705026338897 ab jw080600_epoch3_mosaic_F150W_i2d.fits 61040.49907877508
6.129376570224263e-16 3.6129215261519273e-16 F356W -6.100000000000001 31.931459240245694 0.5031127753712543 ab jw080600_epoch2_mosaic_F356W_i2d.fits 60997.474208551306
1.0355370333444504e-15 7.147225515445782e-16 F356W -6.100000000000005 31.36208591264204 0.569842074249771 ab jw053240_epoch2_mosaic_F356W_i2d.fits 61075.47502172743
-1.2434753960890072e-16 2.951900272371082e-15 F150W nan nan nan ab jw053240_epoch2_mosaic_F150W_i2d.fits 61075.45384987269
2.6662994591142068e-14 1.4084575435101256e-15 F150W -6.100000000000001 27.83522768856453 0.05588988667666314 ab jw080600_epoch1_mosaic_F150W_i2d.fits 60954.53616318311
1.8864405080322928e-14 1.3030995283808154e-15 F200W -6.100000000000005 28.21089221607357 0.07252262822491974 ab jw080600_epoch1_mosaic_F200W_i2d.fits 60954.42859877025
2.3665301346351635e-15 4.3888548906302e-16 F356W -6.100000000000001 30.46471990248559 0.18471293073271033 ab jw080600_epoch1_mosaic_F356W_i2d.fits 60954.536163013116
1.796655456642106e-14 1.336820026447622e-15 F150W -6.100000000000005 28.26383799813703 0.07792109435462209 ab jw080600_epoch2_mosaic_F150W_i2d.fits 60997.47420865934
-6.447643610738046e-16 4.117924331022351e-16 F150W nan nan -1.1052435759878154 ab jw073360_mosaic_F150W_i2d.fits 60966.00991693576
1.6500302656132804e-15 2.7460792772159813e-15 F200W -6.100000000000001 30.85627022421025 1.0639414884419016 ab jw053240_epoch2_mosaic_F200W_i2d.fits 61075.47500668114
1.9046457546592214e-15 2.9889766392468626e-16 F277W -6.100000000000001 30.70046446742871 0.15826849808295518 ab jw080600_epoch3_mosaic_F277W_i2d.fits 61040.446264519676
-3.9531937898623644e-17 3.6151497789265376e-16 F356W nan nan nan ab jw080600_epoch3_mosaic_F356W_i2d.fits 61040.499078420136
1.970563862425092e-15 5.732081607473689e-16 F277W -6.100000000000001 30.663523714671165 0.2772191810952591 ab jw053240_epoch2_mosaic_F277W_i2d.fits 61075.45386508102
6.892598131310572e-15 1.2413384669237064e-15 F200W -6.100000000000001 29.304042605099973 0.17979456229367774 ab jw080600_epoch3_mosaic_F200W_i2d.fits 61040.44626485918
1.869858099694881e-15 3.115739983484953e-16 F277W -6.100000000000001 30.720478375179873 0.1673326230434359 ab jw080600_epoch2_mosaic_F277W_i2d.fits 60997.42120823302
6.8721893874500405e-15 3.8753970858224936e-16 F277W -6.100000000000005 29.307262201233964 0.059563238420348226 ab jw080600_epoch1_mosaic_F277W_i2d.fits 60954.42860917244
2.150764891774906e-14 1.391810087460027e-15 F115W -6.100000000000001 28.068517653465804 0.06808070933433215 ab jw080600_epoch1_mosaic_F115W_i2d.fits 60954.48231371721
9.830452551953226e-15 1.252858625336066e-15 F200W -6.100000000000005 28.91856622162209 0.13024003848676993 ab jw080600_epoch2_mosaic_F200W_i2d.fits 60997.42120826389
