flux fluxerr filter zp mag magerr zpsys exp mjd
1.1305188778072877e-14 7.464502845598594e-16 F444W -6.099999999999994 28.766805453134936 0.06942074415669323 ab jw080600_epoch1_mosaic_F444W_i2d.fits 60954.48231356289
-2.3056984285676976e-14 5.098824636291429e-16 F200W nan nan -0.02427944369435616 ab jw073360_mosaic_F200W_i2d.fits 60965.94109416955
5.366706761784869e-15 1.370474820359048e-15 F150W -6.100000000000001 29.5757303350626 0.24692596686287505 ab jw080600_epoch3_mosaic_F150W_i2d.fits 61040.49907877508
1.0522266252722703e-14 4.451588833368108e-16 F356W -6.100000000000001 28.844726782809488 0.04498847926255781 ab jw080600_epoch2_mosaic_F356W_i2d.fits 60997.474208551306
8.290613893846505e-15 7.986703236661998e-16 F356W -6.100000000000005 29.103533275301356 0.09985748483474154 ab jw053240_epoch2_mosaic_F356W_i2d.fits 61075.47502172743
8.57355245344744e-15 2.973363380189881e-15 F150W -6.100000000000005 29.06709797691509 0.3232629774643899 ab jw053240_epoch2_mosaic_F150W_i2d.fits 61075.45384987269
-1.6928667852398546e-14 4.498471264066471e-16 F150W nan nan -0.02924163744890186 ab jw053240_epoch1_mosaic_F150W_i2d.fits 61018.006407826964
2.3840711575145284e-14 1.4613087461761284e-15 F150W -6.100000000000001 27.956701965812393 0.06458996631820815 ab jw080600_epoch1_mosaic_F150W_i2d.fits 60954.53616318311
-1.707875499437211e-14 1.766987672188003e-16 F356W nan nan -0.011291665572475799 ab jw053240_epoch1_mosaic_F356W_i2d.fits 61018.00640694733
2.306031858016933e-14 1.4191501928121875e-15 F200W -6.100000000000001 27.992836742966063 0.0648417154298919 ab jw080600_epoch1_mosaic_F200W_i2d.fits 60954.42859877025
9.804663802373349e-15 4.940506763232928e-16 F356W -6.100000000000001 28.92141823377105 0.05337577862836937 ab jw080600_epoch1_mosaic_F356W_i2d.fits 60954.536163013116
1.2059432456163827e-14 1.4182713445274412e-15 F150W -6.100000000000005 28.69668282645902 0.12072259560097712 ab jw080600_epoch2_mosaic_F150W_i2d.fits 60997.47420865934
-1.0650827742858247e-14 1.2501610213815985e-16 F277W nan nan -0.01281941696986427 ab jw053240_epoch1_mosaic_F277W_i2d.fits 61017.98789085359
-1.5244969776776012e-14 4.42871083614999e-16 F150W nan nan -0.032008180412471866 ab jw073360_mosaic_F150W_i2d.fits 60966.00991693576
1.2184192784037501e-14 2.8050754226132475e-15 F200W -6.100000000000001 28.685508095014463 0.2249591715362048 ab jw053240_epoch2_mosaic_F200W_i2d.fits 61075.47500668114
8.480514892319904e-15 3.6437459250809426e-16 F277W -6.100000000000001 29.078944447157504 0.04567547429412732 ab jw080600_epoch3_mosaic_F277W_i2d.fits 61040.446264519676
9.490492483294616e-15 4.586546448263742e-16 F356W -6.100000000000005 28.956778126142577 0.051242759306848386 ab jw080600_epoch3_mosaic_F356W_i2d.fits 61040.499078420136
1.0216973735648148e-14 7.062972422196378e-16 F277W -6.100000000000001 28.876694307601035 0.07257607635305485 ab jw053240_epoch2_mosaic_F277W_i2d.fits 61075.45386508102
1.731846111174645e-14 1.374990805091983e-15 F200W -6.100000000000005 28.30372675313635 0.08295051621567844 ab jw080600_epoch3_mosaic_F200W_i2d.fits 61040.44626485918
9.496683028943037e-15 3.7396795976569003e-16 F277W -6.100000000000001 28.9560701430335 0.0419346334919905 ab jw080600_epoch2_mosaic_F277W_i2d.fits 60997.42120823302
1.1044280158344857e-14 4.3868201386650987e-16 F277W -6.100000000000005 28.79215646305006 0.042291298427742735 ab jw080600_epoch1_mosaic_F277W_i2d.fits 60954.42860917244
1.8316822471589012e-14 1.4053981667812634e-15 F115W -6.100000000000001 28.24287465946859 0.08026419215477192 ab jw080600_epoch1_mosaic_F115W_i2d.fits 60954.48231371721
-2.238534616732752e-14 5.027339577736809e-16 F200W nan nan -0.024661626473375955 ab jw053240_epoch1_mosaic_F200W_i2d.fits 61017.98789171007
1.9368650602023924e-14 1.366184459524119e-15 F200W -6.100000000000001 28.182251587916824 0.07400305054472939 ab jw080600_epoch2_mosaic_F200W_i2d.fits 60997.42120826389
