flux fluxerr filter zp mag magerr zpsys exp mjd
3.7333408201870364e-15 7.259969482411956e-16 F444W -6.100000000000001 29.969755902782637 0.19293182485923255 ab jw080600_epoch1_mosaic_F444W_i2d.fits 60954.48231356289
3.1833494235277144e-14 1.0061405571402076e-15 F200W -6.100000000000005 27.642789219987716 0.033785016767018596 ab jw073360_mosaic_F200W_i2d.fits 60965.94109416955
2.3357553103214352e-14 1.2968132709828987e-15 F150W -6.100000000000005 27.978931637785198 0.05866625151303981 ab jw080600_epoch3_mosaic_F150W_i2d.fits 61040.49907877508
2.6974280373229103e-14 5.312608411018191e-16 F356W -6.100000000000001 27.822625331775228 0.021175818749461763 ab jw080600_epoch2_mosaic_F356W_i2d.fits 60997.474208551306
1.4812715229690833e-14 8.320368152694003e-16 F356W -6.100000000000005 28.473413315684088 0.059335026598172996 ab jw053240_epoch2_mosaic_F356W_i2d.fits 61075.47502172743
2.814689672710325e-15 2.7475105341067052e-15 F150W -6.100000000000001 30.276423700840454 0.7395402430449487 ab jw053240_epoch2_mosaic_F150W_i2d.fits 61075.45384987269
5.426408188936208e-14 3.7207263347159894e-15 F150W -6.100000000000001 27.063718851383122 0.07200441422740195 ab jw053240_epoch1_mosaic_F150W_i2d.fits 61018.006407826964
1.3288153668335502e-14 1.3778047980084313e-15 F150W -6.100000000000001 28.591338395528417 0.10711452240186706 ab jw080600_epoch1_mosaic_F150W_i2d.fits 60954.53616318311
2.496243944644439e-14 9.224891147605013e-16 F356W -6.100000000000001 27.906782439064436 0.0393998658826618 ab jw053240_epoch1_mosaic_F356W_i2d.fits 61018.00640694733
1.607876305481527e-14 1.3926808928603337e-15 F200W -6.100000000000005 28.38436841184377 0.0901904099326557 ab jw080600_epoch1_mosaic_F200W_i2d.fits 60954.42859877025
5.341358686313312e-15 4.662849640197195e-16 F356W -6.100000000000001 29.58087064258131 0.09087054445523525 ab jw080600_epoch1_mosaic_F356W_i2d.fits 60954.536163013116
6.450574384478925e-14 1.4634393515184828e-15 F150W -6.1000000000000085 26.87600403089118 0.02435679802984871 ab jw080600_epoch2_mosaic_F150W_i2d.fits 60997.47420865934
2.2731884249638807e-14 7.816796688400243e-16 F277W -6.100000000000005 28.008411410104156 0.036707558929390795 ab jw053240_epoch1_mosaic_F277W_i2d.fits 61017.98789085359
3.4570925734400664e-14 2.3933744809315553e-15 F150W -6.100000000000005 27.553222477094298 0.07267869915406953 ab jw073360_mosaic_F150W_i2d.fits 60966.00991693576
2.1469407537711074e-14 2.7878849255101683e-15 F200W -6.100000000000001 28.070449850093937 0.13255566109223033 ab jw053240_epoch2_mosaic_F200W_i2d.fits 61075.47500668114
2.149234380674401e-14 4.3524234194854784e-16 F277W -6.100000000000001 28.069290551914612 0.021767616744309798 ab jw080600_epoch3_mosaic_F277W_i2d.fits 61040.446264519676
2.0918277340472463e-14 4.992837686865353e-16 F356W -6.100000000000001 28.09868520825134 0.025610245039592982 ab jw080600_epoch3_mosaic_F356W_i2d.fits 61040.499078420136
1.4428362377000624e-14 7.119518396106229e-16 F277W -6.100000000000001 28.501957396623823 0.052294617744714375 ab jw053240_epoch2_mosaic_F277W_i2d.fits 61075.45386508102
3.605645600282544e-14 1.4019478599286426e-15 F200W -6.100000000000005 27.507542406045648 0.041415575405118574 ab jw080600_epoch3_mosaic_F200W_i2d.fits 61040.44626485918
2.8406542714533263e-14 4.4367792866906196e-16 F277W -6.100000000000001 27.766454049744702 0.016826897092696365 ab jw080600_epoch2_mosaic_F277W_i2d.fits 60997.42120823302
5.484967355917147e-15 4.639717480443634e-16 F277W -6.100000000000001 29.55206488202228 0.08816369030340857 ab jw080600_epoch1_mosaic_F277W_i2d.fits 60954.42860917244
1.3276757081345453e-14 1.3804165002303706e-15 F115W -6.100000000000001 28.592269976890123 0.10739555472146267 ab jw080600_epoch1_mosaic_F115W_i2d.fits 60954.48231371721
5.454929653846739e-14 3.4720578922378795e-15 F200W -6.100000000000001 27.058027114129594 0.06699677064763253 ab jw053240_epoch1_mosaic_F200W_i2d.fits 61017.98789171007
6.156804425745116e-14 1.454527677439061e-15 F200W -6.100000000000001 26.926611604477003 0.025351911090304838 ab jw080600_epoch2_mosaic_F200W_i2d.fits 60997.42120826389
