flux fluxerr filter zp mag magerr zpsys exp mjd
3.799741389366649e-15 7.263552558159068e-16 F444W -6.100000000000001 29.950614901216497 0.18992445910185607 ab jw080600_epoch1_mosaic_F444W_i2d.fits 60954.48231356289
3.1850620349656165e-14 1.006027803927449e-15 F200W -6.100000000000001 27.642205261397805 0.03376340422676033 ab jw073360_mosaic_F200W_i2d.fits 60965.94109416955
2.3335178264687593e-14 1.2966647890598941e-15 F150W -6.100000000000005 27.97997219263868 0.05871446443355909 ab jw080600_epoch3_mosaic_F150W_i2d.fits 61040.49907877508
2.7048259215729533e-14 5.309889471436697e-16 F356W -6.100000000000005 27.819651700453623 0.021107757231772096 ab jw080600_epoch2_mosaic_F356W_i2d.fits 60997.474208551306
1.490230903512456e-14 8.322761996671858e-16 F356W -6.100000000000005 28.466866086768018 0.05900433515560633 ab jw053240_epoch2_mosaic_F356W_i2d.fits 61075.47502172743
2.7662506780971825e-15 2.7476868040103358e-15 F150W -6.100000000000001 30.295271166512748 0.7489257607586615 ab jw053240_epoch2_mosaic_F150W_i2d.fits 61075.45384987269
5.413744792107321e-14 3.720992063984722e-15 F150W -6.100000000000001 27.06625555260694 0.07217235199234315 ab jw053240_epoch1_mosaic_F150W_i2d.fits 61018.006407826964
1.3448040361185139e-14 1.377712207174241e-15 F150W -6.100000000000001 28.578352490330282 0.10589435975329933 ab jw080600_epoch1_mosaic_F150W_i2d.fits 60954.53616318311
2.5022382351441232e-14 9.222332369829086e-16 F356W -6.100000000000001 27.90417836002478 0.039296460777811126 ab jw053240_epoch1_mosaic_F356W_i2d.fits 61018.00640694733
1.60406414106888e-14 1.3923888705074694e-15 F200W -6.100000000000005 28.38694567436384 0.09037788568676867 ab jw080600_epoch1_mosaic_F200W_i2d.fits 60954.42859877025
5.347238702984071e-15 4.664206239151166e-16 F356W -6.100000000000001 29.579676070946597 0.09080001862505588 ab jw080600_epoch1_mosaic_F356W_i2d.fits 60954.536163013116
6.446193235423379e-14 1.4627365829396103e-15 F150W -6.100000000000005 26.876741699812765 0.024361593601786753 ab jw080600_epoch2_mosaic_F150W_i2d.fits 60997.47420865934
2.2797317917085795e-14 7.8201328705768e-16 F277W -6.100000000000001 28.005290610824147 0.03661931771873472 ab jw053240_epoch1_mosaic_F277W_i2d.fits 61017.98789085359
3.467022473538546e-14 2.3922824324502e-15 F150W -6.100000000000001 27.55010835800052 0.07244534475121146 ab jw073360_mosaic_F150W_i2d.fits 60966.00991693576
2.197598138749107e-14 2.7878445789574323e-15 F200W -6.100000000000001 28.045129303530224 0.1296736616452924 ab jw053240_epoch2_mosaic_F200W_i2d.fits 61075.47500668114
2.153000047323928e-14 4.353042696629516e-16 F277W -6.100000000000001 28.0673899015763 0.02173298400359147 ab jw080600_epoch3_mosaic_F277W_i2d.fits 61040.446264519676
2.097868727662651e-14 4.994055231704943e-16 F356W -6.100000000000001 28.09555422724295 0.02554351346889019 ab jw080600_epoch3_mosaic_F356W_i2d.fits 61040.499078420136
1.460436870505136e-14 7.124569134149293e-16 F277W -6.100000000000001 28.488793028228677 0.05171494812298126 ab jw053240_epoch2_mosaic_F277W_i2d.fits 61075.45386508102
3.595034729775936e-14 1.4010741615024362e-15 F200W -6.100000000000001 27.51074227441471 0.04151010975087375 ab jw080600_epoch3_mosaic_F200W_i2d.fits 61040.44626485918
2.848629204905879e-14 4.430048352279987e-16 F277W -6.100000000000001 27.763410193804994 0.016754889834288737 ab jw080600_epoch2_mosaic_F277W_i2d.fits 60997.42120823302
5.494533962226606e-15 4.63216048796214e-16 F277W -6.100000000000001 29.550172844642 0.08787853497858611 ab jw080600_epoch1_mosaic_F277W_i2d.fits 60954.42860917244
1.3321405272281493e-14 1.3805007259499466e-15 F115W -6.100000000000001 28.588624897785543 0.10705900180823057 ab jw080600_epoch1_mosaic_F115W_i2d.fits 60954.48231371721
5.4499887791517406e-14 3.4702709682223557e-15 F200W -6.100000000000005 27.059010979701736 0.06702220407978829 ab jw053240_epoch1_mosaic_F200W_i2d.fits 61017.98789171007
6.145310649574125e-14 1.455141623797813e-15 F200W -6.100000000000001 26.92864039586334 0.02540937346538512 ab jw080600_epoch2_mosaic_F200W_i2d.fits 60997.42120826389
