flux fluxerr filter zp mag magerr zpsys exp mjd
-1.3368049317660278e-13 3.556551205901765e-15 F444W nan nan -0.029277069457269867 ab jw080600_epoch1_mosaic_F444W_i2d.fits 60954.48231356289
-2.5295407978891493e-14 2.8975997736220533e-15 F200W nan nan -0.13209041733666588 ab jw073360_mosaic_F200W_i2d.fits 60965.94109416955
-4.540583922754452e-15 3.606106870718554e-15 F150W nan nan -1.7163576654955732 ab jw080600_epoch3_mosaic_F150W_i2d.fits 61040.49907877508
-1.8198231389215676e-12 9.810930066652499e-16 F356W nan nan -0.0005854939486184617 ab jw080600_epoch2_mosaic_F356W_i2d.fits 60997.474208551306
-8.677088514417428e-13 1.182951827730032e-15 F150W nan nan -0.0014811995045873054 ab jw053240_epoch1_mosaic_F150W_i2d.fits 61018.006407826964
6.088281878289573e-15 3.766526863438033e-15 F150W -6.100000000000001 29.438763121477493 0.5228836216771536 ab jw080600_epoch1_mosaic_F150W_i2d.fits 60954.53616318311
-1.6967625217832357e-12 9.810930066652499e-16 F356W nan nan -0.0006279701856718756 ab jw053240_epoch1_mosaic_F356W_i2d.fits 61018.00640694733
-8.526061775448413e-16 4.582191380064648e-15 F200W nan nan nan ab jw080600_epoch1_mosaic_F200W_i2d.fits 60954.42859877025
-1.2141557627134335e-14 3.0170907538463258e-15 F356W nan nan -0.31016726669384403 ab jw080600_epoch1_mosaic_F356W_i2d.fits 60954.536163013116
3.5661087256181054e-14 3.7144270724722305e-15 F150W -6.100000000000005 27.519513549833686 0.10757914896352112 ab jw080600_epoch2_mosaic_F150W_i2d.fits 60997.47420865934
-1.0216781751966579e-12 6.119881828947485e-16 F277W nan nan -0.0006505539892553728 ab jw053240_epoch1_mosaic_F277W_i2d.fits 61017.98789085359
-2.8055898024388947e-14 5.259526318101253e-15 F150W nan nan -0.2253961114601259 ab jw073360_mosaic_F150W_i2d.fits 60966.00991693576
8.771177344367121e-15 1.8437249088772953e-15 F277W -6.100000000000001 29.042355269765096 0.20714526812281833 ab jw080600_epoch3_mosaic_F277W_i2d.fits 61040.446264519676
3.9012538013918315e-14 2.482677018249358e-15 F356W -6.100000000000001 27.421989487871834 0.06698453658357749 ab jw080600_epoch3_mosaic_F356W_i2d.fits 61040.499078420136
-1.3268748726842153e-14 4.482129763912325e-15 F200W nan nan -0.4475204411832461 ab jw080600_epoch3_mosaic_F200W_i2d.fits 61040.44626485918
-1.0879095554843419e-12 6.119881828947485e-16 F277W nan nan -0.0006109374483235443 ab jw080600_epoch2_mosaic_F277W_i2d.fits 60997.42120823302
-6.393543516282273e-14 2.0833315927152572e-15 F277W nan nan -0.035967877558587664 ab jw080600_epoch1_mosaic_F277W_i2d.fits 60954.42860917244
-1.6473141870226232e-15 3.0396319234413384e-15 F115W nan nan nan ab jw080600_epoch1_mosaic_F115W_i2d.fits 60954.48231371721
-1.5475799870375607e-12 1.7170811187748634e-15 F200W nan nan -0.00120532196205811 ab jw053240_epoch1_mosaic_F200W_i2d.fits 61017.98789171007
4.319720151314258e-14 4.555816382583307e-15 F200W -6.100000000000001 27.311360969002486 0.10886302733825745 ab jw080600_epoch2_mosaic_F200W_i2d.fits 60997.42120826389
