flux fluxerr filter zp mag magerr zpsys exp mjd
-1.870406326757029e-15 2.7354641896110956e-16 F444W nan nan -0.1716728640142956 ab jw080600_epoch1_mosaic_F444W_i2d.fits 60954.48231356289
4.990971302210155e-14 1.4371424916073166e-15 F200W -6.100000000000001 27.154537318235718 0.030821949516888703 ab jw073360_mosaic_F200W_i2d.fits 60965.94109416955
3.930420959985774e-14 1.3236024915158327e-15 F150W -6.100000000000001 27.413902332198674 0.03596091999673001 ab jw080600_epoch3_mosaic_F150W_i2d.fits 61040.49907877508
2.449547131321313e-14 4.676687689146793e-16 F356W -6.100000000000001 27.92728549985179 0.02053353436563199 ab jw080600_epoch2_mosaic_F356W_i2d.fits 60997.474208551306
1.9155309836773075e-14 8.011396580267647e-16 F356W -6.100000000000001 28.194277047297717 0.044485240631035386 ab jw053240_epoch2_mosaic_F356W_i2d.fits 61075.47502172743
2.8316889092896624e-14 2.495473039616326e-15 F150W -6.100000000000001 27.7698861504076 0.09169863393061783 ab jw053240_epoch2_mosaic_F150W_i2d.fits 61075.45384987269
4.904130578963347e-14 3.412374221241767e-15 F150W -6.100000000000005 27.17359493667667 0.07303484304122927 ab jw053240_epoch1_mosaic_F150W_i2d.fits 61018.006407826964
-3.534382268685424e-16 5.208490863332583e-16 F150W nan nan nan ab jw080600_epoch1_mosaic_F150W_i2d.fits 60954.53616318311
2.3759398715863222e-14 8.291016609992847e-16 F356W -6.099999999999998 27.96041138583558 0.037241491953067044 ab jw053240_epoch1_mosaic_F356W_i2d.fits 61018.00640694733
-3.6104919304972415e-16 6.436339102741208e-16 F200W nan nan nan ab jw080600_epoch1_mosaic_F200W_i2d.fits 60954.42859877025
-8.380937203518471e-16 2.1023475906367094e-16 F356W nan nan -0.31357622344413794 ab jw080600_epoch1_mosaic_F356W_i2d.fits 60954.536163013116
-3.534382268685424e-16 5.208490863332583e-16 F150W nan nan nan ab jw080600_epoch2_mosaic_F150W_i2d.fits 60997.47420865934
2.577563282735549e-14 7.553754542084392e-16 F277W -6.100000000000005 27.871976658461772 0.03136104640275941 ab jw053240_epoch1_mosaic_F277W_i2d.fits 61017.98789085359
6.575860746719422e-14 4.672037975686025e-15 F150W -6.100000000000001 26.855118480447565 0.0745226514140877 ab jw073360_mosaic_F150W_i2d.fits 60966.00991693576
4.1345113643943817e-14 2.4838524112973984e-15 F200W -6.100000000000005 27.358939525004562 0.06334258894269267 ab jw053240_epoch2_mosaic_F200W_i2d.fits 61075.47500668114
2.3916026554607952e-14 3.784583853593184e-16 F277W -6.100000000000001 27.953277432606917 0.017046672983345362 ab jw080600_epoch3_mosaic_F277W_i2d.fits 61040.446264519676
2.433725275052008e-14 4.605628348249724e-16 F356W -6.100000000000001 27.934321118944823 0.02035468381140496 ab jw080600_epoch3_mosaic_F356W_i2d.fits 61040.499078420136
2.1921599667863478e-14 7.02398796603934e-16 F277W -6.100000000000001 28.047819393993635 0.03424280059472989 ab jw053240_epoch2_mosaic_F277W_i2d.fits 61075.45386508102
5.34738105227523e-14 1.3464275328809623e-15 F200W -6.1000000000000085 27.079647167856507 0.026999460660149924 ab jw080600_epoch3_mosaic_F200W_i2d.fits 61040.44626485918
2.8133355932718597e-14 4.179325718843564e-16 F277W -6.100000000000001 27.776946148068156 0.01601042933121385 ab jw080600_epoch2_mosaic_F277W_i2d.fits 60997.42120823302
-1.1667435709092938e-15 1.3793753326333828e-16 F277W nan nan -0.13660478047739974 ab jw080600_epoch1_mosaic_F277W_i2d.fits 60954.42860917244
1.0902775500406398e-16 4.256741010772139e-16 F115W -6.100000000000001 33.80615732600356 1.726436555117594 ab jw080600_epoch1_mosaic_F115W_i2d.fits 60954.48231371721
5.730168779449114e-14 3.1782253665558392e-15 F200W -6.100000000000005 27.004581464756964 0.0586093620569217 ab jw053240_epoch1_mosaic_F200W_i2d.fits 61017.98789171007
-3.6104919304972415e-16 6.436339102741208e-16 F200W nan nan nan ab jw080600_epoch2_mosaic_F200W_i2d.fits 60997.42120826389
