flux fluxerr filter zp mag magerr zpsys exp mjd
1.2832992938571325e-13 8.825452307367941e-16 F444W -6.100000000000001 26.129180111767006 0.007441221680153897 ab jw080600_epoch1_mosaic_F444W_i2d.fits 60954.48231356289
-9.464697425156356e-15 8.35541687467698e-16 F200W nan nan -0.10034606878945287 ab jw073360_mosaic_F200W_i2d.fits 60965.94109416955
7.829275987449043e-14 1.704173188267479e-15 F150W -6.100000000000001 26.66569599370378 0.023379336825746028 ab jw080600_epoch3_mosaic_F150W_i2d.fits 61040.49907877508
4.8889887288777916e-14 5.622080597198164e-16 F356W -6.100000000000001 27.176952409904338 0.012414154742951964 ab jw080600_epoch2_mosaic_F356W_i2d.fits 60997.474208551306
8.93839607905678e-15 8.375526586936889e-16 F356W -6.100000000000001 29.02185101187724 0.09724830085153137 ab jw053240_epoch2_mosaic_F356W_i2d.fits 61075.47502172743
5.3657051262575845e-14 3.3132462170492652e-15 F150W -6.100000000000005 27.075932994440652 0.06505421244440183 ab jw053240_epoch2_mosaic_F150W_i2d.fits 61075.45384987269
-9.01528125904421e-15 6.139385927020237e-16 F150W nan nan -0.07657645431056379 ab jw053240_epoch1_mosaic_F150W_i2d.fits 61018.006407826964
4.576279490641612e-13 2.857122704814825e-15 F150W -6.100000000000001 24.748718648509215 0.0067575374828327955 ab jw080600_epoch1_mosaic_F150W_i2d.fits 60954.53616318311
-9.768053998526554e-15 1.8633286627070463e-16 F356W nan nan -0.02091131204120251 ab jw053240_epoch1_mosaic_F356W_i2d.fits 61018.00640694733
4.3567029196987695e-13 2.479949799793189e-15 F200W -6.100000000000005 24.80210513317318 0.0061627723516182766 ab jw080600_epoch1_mosaic_F200W_i2d.fits 60954.42859877025
1.7355668737917054e-13 7.813297687204255e-16 F356W -6.100000000000001 25.80139661925802 0.004876874715362525 ab jw080600_epoch1_mosaic_F356W_i2d.fits 60954.536163013116
1.4562504725016607e-13 1.919124929845891e-15 F150W -6.100000000000001 25.991909801791792 0.014214951934988453 ab jw080600_epoch2_mosaic_F150W_i2d.fits 60997.47420865934
-6.2045807721167254e-15 1.3731673382769923e-16 F277W nan nan -0.024298868596694733 ab jw053240_epoch1_mosaic_F277W_i2d.fits 61017.98789085359
-9.548444830753485e-15 8.326617030429216e-16 F150W nan nan -0.09906556969239558 ab jw073360_mosaic_F150W_i2d.fits 60966.00991693576
3.79528172326176e-14 3.1040856819597643e-15 F200W -6.100000000000005 27.451889952374575 0.08535541665128911 ab jw053240_epoch2_mosaic_F200W_i2d.fits 61075.47500668114
1.4431494132127137e-14 4.364905698710344e-16 F277W -6.100000000000005 28.501721757202848 0.032352021124391415 ab jw080600_epoch3_mosaic_F277W_i2d.fits 61040.446264519676
1.876561941365947e-14 4.888773181735781e-16 F356W -6.099999999999998 28.216592739665405 0.02792316879115436 ab jw080600_epoch3_mosaic_F356W_i2d.fits 61040.499078420136
5.6988758235368815e-15 7.077790494911314e-16 F277W -6.100000000000001 29.510527015110718 0.12710533797603515 ab jw053240_epoch2_mosaic_F277W_i2d.fits 61075.45386508102
6.412851440108232e-14 1.6258987176675827e-15 F200W -6.100000000000001 26.88237205204244 0.027184316764555582 ab jw080600_epoch3_mosaic_F200W_i2d.fits 61040.44626485918
3.762064368922236e-14 4.841464842325281e-16 F277W -6.100000000000005 27.46143444485845 0.013883381103449721 ab jw080600_epoch2_mosaic_F277W_i2d.fits 60997.42120823302
1.4635700199462342e-13 7.608255552921196e-16 F277W -6.100000000000005 25.98646623816798 0.005629496081777523 ab jw080600_epoch1_mosaic_F277W_i2d.fits 60954.42860917244
4.4765768636715945e-13 3.363246549795143e-15 F115W -6.100000000000005 24.772634885471597 0.008126632845837372 ab jw080600_epoch1_mosaic_F115W_i2d.fits 60954.48231371721
-1.1812725296200952e-14 7.054003175278707e-16 F200W nan nan -0.06685156485232781 ab jw053240_epoch1_mosaic_F200W_i2d.fits 61017.98789171007
1.4136955296967687e-13 1.839040166364503e-15 F200W -6.100000000000001 26.02411028824819 0.014032984008724252 ab jw080600_epoch2_mosaic_F200W_i2d.fits 60997.42120826389
