flux fluxerr filter zp mag magerr zpsys exp mjd
5.904196801058062e-15 6.744366433767499e-16 F444W -6.100000000000001 29.472097937164314 0.11743715859342546 ab jw080600_epoch1_mosaic_F444W_i2d.fits 60954.48231356289
5.481221237881176e-15 9.446199019159337e-16 F200W -6.100000000000001 29.552806670493702 0.17263163219946184 ab jw073360_mosaic_F200W_i2d.fits 60965.94109416955
2.983371519545371e-15 1.2931968082455656e-15 F150W -6.100000000000005 30.213231651340347 0.3909701894679273 ab jw080600_epoch3_mosaic_F150W_i2d.fits 61040.49907877508
6.542452763992351e-15 4.545067661369057e-16 F356W -6.100000000000001 29.36064851062411 0.07292191560870115 ab jw080600_epoch2_mosaic_F356W_i2d.fits 60997.474208551306
-2.0006964179044228e-14 2.2734091746222416e-16 F356W nan nan -0.012407947863440759 ab jw053240_epoch2_mosaic_F356W_i2d.fits 61075.47502172743
-1.7276328953027632e-14 7.459595363183325e-16 F150W nan nan -0.047922263819016694 ab jw053240_epoch2_mosaic_F150W_i2d.fits 61075.45384987269
-1.603368449953211e-14 5.373832116948281e-16 F150W nan nan -0.03701320497014129 ab jw053240_epoch1_mosaic_F150W_i2d.fits 61018.006407826964
-1.6917498653189857e-15 1.3884726308368964e-15 F150W nan nan -1.8662408484496138 ab jw080600_epoch1_mosaic_F150W_i2d.fits 60954.53616318311
-2.0942343493188083e-14 2.2594002120335665e-16 F356W nan nan -0.011777294534415346 ab jw053240_epoch1_mosaic_F356W_i2d.fits 61018.00640694733
5.885775768515608e-15 1.412219149240887e-15 F200W -6.100000000000005 29.47549071829545 0.23349960977252116 ab jw080600_epoch1_mosaic_F200W_i2d.fits 60954.42859877025
4.929763446391633e-15 4.47888936801405e-16 F356W -6.100000000000001 29.667934799368574 0.0944166132852153 ab jw080600_epoch1_mosaic_F356W_i2d.fits 60954.536163013116
-1.2845320726678213e-15 1.3704445895698215e-15 F150W nan nan nan ab jw080600_epoch2_mosaic_F150W_i2d.fits 60997.47420865934
-1.481642174573368e-14 1.3736509815522286e-16 F277W nan nan -0.010112962849239696 ab jw053240_epoch1_mosaic_F277W_i2d.fits 61017.98789085359
-4.851803547438818e-16 2.14925137679469e-15 F150W nan nan nan ab jw073360_mosaic_F150W_i2d.fits 60966.00991693576
-3.238075081528073e-14 7.152460938419752e-16 F200W nan nan -0.02425124962924774 ab jw053240_epoch2_mosaic_F200W_i2d.fits 61075.47500668114
9.739457453697673e-15 3.898819634838221e-16 F277W -6.100000000000001 28.928663088149456 0.04261589779217431 ab jw080600_epoch3_mosaic_F277W_i2d.fits 61040.446264519676
9.422424057514206e-15 4.835211047556638e-16 F356W -6.100000000000001 28.96459338543493 0.054333184105457254 ab jw080600_epoch3_mosaic_F356W_i2d.fits 61040.499078420136
-1.527937344381689e-14 1.8942598812703756e-16 F277W nan nan -0.013544545256702128 ab jw053240_epoch2_mosaic_F277W_i2d.fits 61075.45386508102
1.0300122886803967e-14 1.3636744416741296e-15 F200W -6.100000000000001 28.867893984658792 0.13499389637673967 ab jw080600_epoch3_mosaic_F200W_i2d.fits 61040.44626485918
6.759262745790149e-15 3.622672488823042e-16 F277W -6.100000000000001 29.32525167837678 0.05668494788362169 ab jw080600_epoch2_mosaic_F277W_i2d.fits 60997.42120823302
6.389042167795355e-15 3.676543323953086e-16 F277W -6.100000000000005 29.386410613767158 0.06074664267175574 ab jw080600_epoch1_mosaic_F277W_i2d.fits 60954.42860917244
-2.6567322562099748e-17 1.3669666394362962e-15 F115W nan nan nan ab jw080600_epoch1_mosaic_F115W_i2d.fits 60954.48231371721
-3.159209104029423e-14 7.153398354475492e-16 F200W nan nan -0.02486693464274424 ab jw053240_epoch1_mosaic_F200W_i2d.fits 61017.98789171007
6.5219613167321545e-15 1.4071995049309462e-15 F200W -6.100000000000005 29.364054453559735 0.21212251964502518 ab jw080600_epoch2_mosaic_F200W_i2d.fits 60997.42120826389
