flux fluxerr filter zp mag magerr zpsys exp mjd
1.5158421689265303e-14 7.283843235998813e-16 F444W -6.100000000000005 28.44836503886521 0.050956520332764155 ab jw080600_epoch1_mosaic_F444W_i2d.fits 60954.48231356289
4.1932880817277717e-14 9.757110626638958e-16 F200W -6.100000000000005 27.34361325061702 0.024973907211730848 ab jw073360_mosaic_F200W_i2d.fits 60965.94109416955
2.066214588485092e-14 1.4702036546852658e-15 F150W -6.100000000000005 28.112061441122083 0.07463024230850608 ab jw080600_epoch3_mosaic_F150W_i2d.fits 61040.49907877508
2.0565434320246014e-14 4.489452518476824e-16 F356W -6.100000000000001 28.11715528554329 0.02344671662728333 ab jw080600_epoch2_mosaic_F356W_i2d.fits 60997.474208551306
1.5246382971806944e-14 7.838560896633749e-16 F356W -6.100000000000005 28.44208293861332 0.05443293637379879 ab jw053240_epoch2_mosaic_F356W_i2d.fits 61075.47502172743
1.1673257594118945e-14 2.5809220007341922e-15 F150W -6.100000000000005 28.73201982695434 0.2168753928741711 ab jw053240_epoch2_mosaic_F150W_i2d.fits 61075.45384987269
2.2576008180287296e-14 2.806205506550552e-15 F150W -6.100000000000001 28.015882115563947 0.12720585559242784 ab jw053240_epoch1_mosaic_F150W_i2d.fits 61018.006407826964
2.822707923357658e-14 1.3810692358303705e-15 F150W -6.100000000000001 27.77333514419746 0.051863268828984066 ab jw080600_epoch1_mosaic_F150W_i2d.fits 60954.53616318311
1.6304194001078565e-14 8.117988081423355e-16 F356W -6.100000000000001 28.36925166426036 0.05275690265018239 ab jw053240_epoch1_mosaic_F356W_i2d.fits 61018.00640694733
4.1475305598824985e-14 1.3564005501157302e-15 F200W -6.100000000000001 27.355526013295503 0.03493944913004424 ab jw080600_epoch1_mosaic_F200W_i2d.fits 60954.42859877025
2.1036265030131282e-14 4.499295817163738e-16 F356W -6.1000000000000085 28.09257841566773 0.022977178289152952 ab jw080600_epoch1_mosaic_F356W_i2d.fits 60954.536163013116
2.7094730907217523e-14 1.468473543822221e-15 F150W -6.100000000000005 27.817787894623148 0.05730521587583186 ab jw080600_epoch2_mosaic_F150W_i2d.fits 60997.47420865934
1.7215288033179033e-14 7.165468956248412e-16 F277W -6.1000000000000085 28.310214266529286 0.04427609733383482 ab jw053240_epoch1_mosaic_F277W_i2d.fits 61017.98789085359
2.928669016451487e-14 2.12807810764025e-15 F150W -6.100000000000001 27.733324268347253 0.0761589196839383 ab jw073360_mosaic_F150W_i2d.fits 60966.00991693576
1.884163446656778e-14 2.4971286383535852e-15 F200W -6.100000000000005 28.212203564762586 0.13512666993033412 ab jw053240_epoch2_mosaic_F200W_i2d.fits 61075.47500668114
1.8140411841403665e-14 3.793951176955458e-16 F277W -6.100000000000001 28.253382143462865 0.022473282233309022 ab jw080600_epoch3_mosaic_F277W_i2d.fits 61040.446264519676
1.7179256279961296e-14 4.287397437139633e-16 F356W -6.100000000000005 28.312489103663022 0.026763932339965067 ab jw080600_epoch3_mosaic_F356W_i2d.fits 61040.499078420136
1.5536702778253954e-14 6.623615165320001e-16 F277W -6.1000000000000085 28.421602855914017 0.04532767879104408 ab jw053240_epoch2_mosaic_F277W_i2d.fits 61075.45386508102
3.3737275001288615e-14 1.359373695535335e-15 F200W -6.100000000000001 27.57972499699443 0.042889118503482815 ab jw080600_epoch3_mosaic_F200W_i2d.fits 61040.44626485918
2.0230585070318886e-14 3.841382773488788e-16 F277W -6.100000000000005 28.134978893031363 0.020422670248144387 ab jw080600_epoch2_mosaic_F277W_i2d.fits 60997.42120823302
2.170871004099444e-14 4.0498502758432845e-16 F277W -6.100000000000005 28.05841495526563 0.020068247014834402 ab jw080600_epoch1_mosaic_F277W_i2d.fits 60954.42860917244
4.488476372965201e-15 1.2745863150167411e-15 F115W -6.100000000000001 29.769752641427942 0.27138600059154044 ab jw080600_epoch1_mosaic_F115W_i2d.fits 60954.48231371721
3.920822324807249e-14 2.7588606547747817e-15 F200W -6.100000000000001 27.41655709413734 0.07382907703616472 ab jw053240_epoch1_mosaic_F200W_i2d.fits 61017.98789171007
3.994746451874617e-14 1.397807694674876e-15 F200W -6.100000000000001 27.396276950791233 0.03734158986501111 ab jw080600_epoch2_mosaic_F200W_i2d.fits 60997.42120826389
